id,scholarshipId,name,link,eligibleNationalities,eligibleDegreeLevels,eligibleHighSchoolTracks,eligibleFields,preferredSchoolTier,minAge,maxAge,minReportCardAverage,minMajorSubjectAverage,languageRequirements,requiresFinancialNeed,maxFamilyIncomeCategory,hostCountry,hostRegion,selectionCriteria,careerTrackPreference,requiresReturnHomeCountry,missionStatement,targetRecipientProfile,fundingCoversTuition,fundingCoversLiving,fundingCoversAirfare,fundingCoversInsurance,fundingMonthlyStipend,fundingIsFullFunding,fundingCoverageCount,createdAt,updatedAt
11,SCH_000010,NUS ASEAN Undergraduate Scholarship,,"indonesia,malaysia,thailand,philippines,vietnam",high_school,"science,social_studies","computer_science,engineering,economics,business,mathematics",excellence,17,19,85,83,[object Object],false,high,singapore,asia,[object Object],industry,false,"The NUS ASEAN Undergraduate Scholarship attracts the brightest students from Southeast Asia to study at one of Asia's leading research universities, nurturing talent that will drive innovation and regional progress.","We seek academically exceptional ASEAN students with a minimum GPA of 85/100 and IELTS 6.5, who have demonstrated excellence in mathematics, sciences, or technology and show potential for intellectual leadership.",true,true,false,false,5400,true,2,Sat May 30 2026 02:44:06 GMT+0000 (Coordinated Universal Time),Sat May 30 2026 02:44:06 GMT+0000 (Coordinated Universal Time)
12,SCH_000011,NTU ASEAN Undergraduate Scholarship,,"indonesia,malaysia,thailand,philippines,vietnam",high_school,science,"engineering,computer_science,mathematics,physics,chemistry",excellence,17,19,83,82,[object Object],false,high,singapore,asia,[object Object],industry,false,"The NTU ASEAN Undergraduate Scholarship recruits outstanding science and engineering students from Southeast Asia, empowering them to push the boundaries of technology and applied research at a global top-20 university.","We seek top-tier ASEAN students with a minimum GPA of 83/100, IELTS 6.0, and exceptional aptitude in physics, mathematics, or engineering, ideally with olympiad achievements or research exposure.",true,true,false,false,5400,true,2,Sat May 30 2026 02:44:06 GMT+0000 (Coordinated Universal Time),Sat May 30 2026 02:44:06 GMT+0000 (Coordinated Universal Time)
13,SCH_000012,Taiwan ICDF International Scholarship (Undergraduate),,"indonesia,vietnam,philippines,thailand,malaysia,india,egypt,nigeria,kenya,south_africa",high_school,"languages,science,social_studies,vocational","agriculture,medicine,computer_science,engineering,education,economics,biology",public_a,17,25,75,70,"[object Object],[object Object]",false,high,japan,asia,[object Object],government,true,"The Taiwan ICDF International Scholarship advances sustainable development by supporting students from partner countries to study agriculture, medicine, and technology in Taiwan, building human capital for their home nations.","We seek students with a minimum GPA of 75/100 from ICDF partner countries who are committed to applying their education for development impact upon returning home, with interest in agriculture, health, or engineering disciplines.",true,true,true,true,15000,true,4,Sat May 30 2026 02:44:06 GMT+0000 (Coordinated Universal Time),Sat May 30 2026 02:44:06 GMT+0000 (Coordinated Universal Time)
14,SCH_000013,JPA Malaysia Overseas Scholarship (Undergraduate),,malaysia,high_school,"languages,science,social_studies,vocational","computer_science,engineering,medicine,economics,law,education",excellence,17,20,82,80,[object Object],true,middle,uk,europe,[object Object],government,true,"The JPA Malaysia Overseas Scholarship develops Malaysia's future civil service and professional leaders by sponsoring the nation's brightest students to pursue undergraduate studies at top universities in the UK, Australia, and beyond.","We seek Malaysian students with a minimum GPA of 82/100, IELTS 6.0, demonstrated financial need, and a proven commitment to public service, who will return to serve the Malaysian government or strategic sectors upon graduation.",true,true,true,true,1200,true,4,Sat May 30 2026 02:44:06 GMT+0000 (Coordinated Universal Time),Sat May 30 2026 02:44:06 GMT+0000 (Coordinated Universal Time)
15,SCH_000014,Australia Awards Scholarship (Undergraduate),,"indonesia,vietnam,philippines,thailand,malaysia,india",high_school,"languages,science,social_studies,vocational","agriculture,economics,education,social_sciences,computer_science,engineering,medicine",public_a,17,25,78,75,[object Object],true,middle,australia,oceania,[object Object],government,true,"Australia Awards Scholarships support students from the Indo-Pacific region to gain skills and knowledge at Australian universities, contributing to development and strengthening people-to-people ties between Australia and partner countries.","We seek students with a minimum GPA of 78/100 and IELTS 6.5 who demonstrate leadership potential, community engagement, and commitment to applying their Australian education for the benefit of their home country after graduation.",true,true,true,true,2526,true,4,Sat May 30 2026 02:44:06 GMT+0000 (Coordinated Universal Time),Sat May 30 2026 02:44:06 GMT+0000 (Coordinated Universal Time)
16,SCH_000015,Brunei Darussalam Government Scholarship,,"indonesia,malaysia,thailand,philippines,vietnam,singapore,india,china",high_school,"languages,science,social_studies,vocational","engineering,computer_science,medicine,economics,education,agriculture",public_a,17,25,75,70,"[object Object],[object Object]",false,high,malaysia,asia,[object Object],industry,true,"The Brunei Darussalam Government Scholarship invites talented students from ASEAN and partner nations to pursue undergraduate education at Universiti Brunei Darussalam, fostering regional friendship and human capital development.","We seek motivated students with a minimum GPA of 75/100, English proficiency (IELTS 5.5 or equivalent), and a genuine interest in contributing to regional development, particularly in engineering, health, or public sector fields.",true,true,true,true,400,true,4,Sat May 30 2026 02:44:06 GMT+0000 (Coordinated Universal Time),Sat May 30 2026 02:44:06 GMT+0000 (Coordinated Universal Time)
17,SCH_000016,Thai Government Scholarship (OCSC),,"indonesia,vietnam,malaysia,philippines,india,china,egypt,kenya,nigeria",high_school,"languages,science,social_studies,vocational","engineering,agriculture,economics,education,social_sciences,computer_science,medicine",public_a,17,25,73,68,"[object Object],[object Object]",false,high,thailand,asia,[object Object],industry,false,"The Thai Government Scholarship, administered by the Office of the Civil Service Commission, promotes Thailand as a higher education hub by welcoming international students to study at leading Thai universities in priority fields.","We seek international students with a minimum GPA of 73/100, basic English proficiency, and academic interest in engineering, agriculture, or social development fields who wish to study and experience Thai culture.",true,true,false,true,10000,true,3,Sat May 30 2026 02:44:06 GMT+0000 (Coordinated Universal Time),Sat May 30 2026 02:44:06 GMT+0000 (Coordinated Universal Time)
18,SCH_000017,New Zealand ASEAN Scholarship,,"indonesia,vietnam,malaysia,thailand,philippines",high_school,"languages,science,social_studies,vocational","agriculture,computer_science,engineering,economics,education,social_sciences,biology",public_a,17,25,75,72,[object Object],false,high,new_zealand,oceania,[object Object],government,true,"The New Zealand ASEAN Scholarship supports students from Southeast Asia to gain world-class education at New Zealand universities, building lasting connections and developing future leaders committed to ASEAN-NZ partnership.","We seek ASEAN students with a minimum GPA of 75/100, IELTS 6.0, leadership potential, and commitment to return home to apply their New Zealand education for national development in agriculture, technology, or public policy.",true,true,true,true,900,true,4,Sat May 30 2026 02:44:06 GMT+0000 (Coordinated Universal Time),Sat May 30 2026 02:44:06 GMT+0000 (Coordinated Universal Time)
19,SCH_000018,Taiwan MOE Scholarship (Ministry of Education),,"indonesia,vietnam,malaysia,thailand,philippines,india,south_africa,nigeria",high_school,"languages,science,social_studies,vocational","computer_science,engineering,economics,arts_humanities,social_sciences,mathematics,biology",public_a,17,30,75,70,"[object Object],[object Object],[object Object]",false,high,japan,asia,[object Object],industry,false,"The Taiwan Ministry of Education Scholarship promotes Taiwan as a premier study destination by supporting outstanding international students to study at accredited Taiwanese universities in STEM, humanities, and social sciences.","We seek students with a minimum GPA of 75/100 who are motivated to study in Taiwan's vibrant academic environment, with English, Mandarin, or a relevant language proficiency and strong academic background in their chosen field.",false,true,false,false,15000,false,1,Sat May 30 2026 02:44:06 GMT+0000 (Coordinated Universal Time),Sat May 30 2026 02:44:06 GMT+0000 (Coordinated Universal Time)
20,SCH_000019,Shanghai Government Scholarship,,"indonesia,vietnam,malaysia,thailand,philippines,india,egypt,nigeria,kenya,south_africa,brazil",high_school,"science,social_studies,vocational","computer_science,engineering,economics,business,mathematics,medicine,chemistry",public_a,17,25,75,70,"[object Object],[object Object]",false,high,china,asia,[object Object],industry,false,"The Shanghai Government Scholarship attracts talented students from around the world to study at Shanghai's world-renowned universities, fostering international exchange and preparing global professionals for the 21st-century economy.","We seek academically strong international students with a minimum GPA of 75/100 and HSK or English proficiency, eager to study in Shanghai's dynamic academic environment in science, technology, economics, or medicine.",true,true,false,true,1500,true,3,Sat May 30 2026 02:44:06 GMT+0000 (Coordinated Universal Time),Sat May 30 2026 02:44:06 GMT+0000 (Coordinated Universal Time)
21,SCH_000020,Beijing Government Scholarship,,"indonesia,vietnam,malaysia,thailand,philippines,india,egypt,nigeria,kenya,south_africa,brazil",high_school,"languages,science,social_studies,vocational","computer_science,engineering,medicine,economics,business,arts_humanities,social_sciences,mathematics",public_a,17,25,78,75,"[object Object],[object Object],[object Object]",false,high,china,asia,[object Object],industry,false,"The Beijing Government Scholarship supports international students in pursuing undergraduate education at Beijing's elite universities, promoting cross-cultural understanding and building global networks in China's capital.","We seek students with a minimum GPA of 78/100, HSK or English proficiency, and strong academic performance in STEM, medicine, or humanities who wish to study at Peking University, Tsinghua, or other Beijing institutions.",true,true,false,true,2500,true,3,Sat May 30 2026 02:44:06 GMT+0000 (Coordinated Universal Time),Sat May 30 2026 02:44:06 GMT+0000 (Coordinated Universal Time)
22,SCH_000021,KAIST Global Scholarship (Undergraduate),,"indonesia,vietnam,malaysia,thailand,philippines,india,china,south_africa,nigeria,kenya,brazil",high_school,science,"computer_science,engineering,mathematics,physics,chemistry,biology",excellence,17,20,88,87,"[object Object],[object Object]",false,high,south_korea,asia,[object Object],research,false,"KAIST Global Scholarship identifies and nurtures the world's most exceptional young scientists and engineers, providing a fully funded undergraduate education at one of Asia's leading science and technology institutions.","We seek exceptional students with a minimum GPA of 88/100, TOEFL 83 or IELTS 6.5, and distinguished achievements in science or mathematics olympiads, who aspire to become pioneering researchers and innovators in STEM fields.",true,true,false,true,350000,true,3,Sat May 30 2026 02:44:06 GMT+0000 (Coordinated Universal Time),Sat May 30 2026 02:44:06 GMT+0000 (Coordinated Universal Time)
23,SCH_000022,Yonsei University International Scholarship,,"indonesia,vietnam,malaysia,thailand,philippines,india,china,south_africa,nigeria,brazil,argentina",high_school,"languages,science,social_studies,vocational","computer_science,engineering,business,economics,arts_humanities,social_sciences,medicine",excellence,17,22,82,80,"[object Object],[object Object]",false,high,south_korea,asia,[object Object],industry,false,"Yonsei University International Scholarship attracts globally talented students to join one of Korea's most prestigious universities, offering excellence in research, leadership development, and intercultural education.","We seek high-achieving international students with a minimum GPA of 82/100 and English proficiency (TOEFL 80 or IELTS 6.0) who demonstrate academic excellence, leadership, and commitment to making a global impact.",true,true,false,false,500000,true,2,Sat May 30 2026 02:44:06 GMT+0000 (Coordinated Universal Time),Sat May 30 2026 02:44:06 GMT+0000 (Coordinated Universal Time)
24,SCH_000023,Panasonic Scholarship Japan,,"indonesia,malaysia,thailand,philippines,vietnam,india,china",high_school,science,"engineering,computer_science,physics,mathematics,chemistry",public_a,17,22,80,78,"[object Object],[object Object],[object Object]",false,high,japan,asia,[object Object],industry,true,"The Panasonic Scholarship supports talented students from Asia to study engineering and science in Japan, building future technology leaders who will contribute to sustainable development in their home countries and the broader Asia-Pacific region.","We seek science and engineering students with a minimum GPA of 80/100 from ASEAN or South Asian countries, who demonstrate strong analytical skills, a passion for technology, and commitment to returning home to apply their expertise.",false,true,false,false,150000,false,1,Sat May 30 2026 02:44:06 GMT+0000 (Coordinated Universal Time),Sat May 30 2026 02:44:06 GMT+0000 (Coordinated Universal Time)
25,SCH_000024,Kyoto University ASEAN Scholarship,,"indonesia,malaysia,thailand,philippines,vietnam",high_school,"science,social_studies,vocational","engineering,computer_science,mathematics,physics,biology,social_sciences,agriculture",public_a,17,21,82,80,"[object Object],[object Object]",false,high,japan,asia,[object Object],research,false,"Kyoto University ASEAN Scholarship brings the brightest minds from Southeast Asia to one of Japan's most distinguished research universities, fostering academic excellence and ASEAN-Japan scholarly collaboration across science and humanities.","We seek ASEAN students with a minimum GPA of 82/100 and English proficiency, with strong aptitude in science, mathematics, or engineering and a passion for research-oriented undergraduate study at a top-ranked Japanese university.",true,true,true,true,147000,true,4,Sat May 30 2026 02:44:06 GMT+0000 (Coordinated Universal Time),Sat May 30 2026 02:44:06 GMT+0000 (Coordinated Universal Time)
26,SCH_000025,Orange Tulip Scholarship (Netherlands),,"indonesia,china,india,vietnam,malaysia,thailand",high_school,"languages,science,social_studies,vocational","computer_science,engineering,economics,business,agriculture,arts_humanities,social_sciences",public_a,17,26,78,75,"[object Object],[object Object]",false,high,netherlands,europe,[object Object],industry,false,"The Orange Tulip Scholarship connects talented students from Asia with Dutch universities of applied sciences and research universities, opening doors to the Netherlands' world-class education and innovative learning environment.","We seek motivated students from Indonesia, China, India, Vietnam, Malaysia, or Thailand with a minimum GPA of 78/100 and IELTS 6.0, who can demonstrate their potential to thrive in the Netherlands' problem-based learning culture.",false,false,false,false,290,false,0,Sat May 30 2026 02:44:06 GMT+0000 (Coordinated Universal Time),Sat May 30 2026 02:44:06 GMT+0000 (Coordinated Universal Time)
27,SCH_000026,Holland Scholarship,,"indonesia,vietnam,malaysia,thailand,philippines,india,china,south_africa,nigeria,kenya,brazil",high_school,"languages,science,social_studies,vocational","computer_science,engineering,economics,business,agriculture,arts_humanities,social_sciences,mathematics",public_a,17,30,78,75,"[object Object],[object Object]",false,high,netherlands,europe,[object Object],industry,false,"The Holland Scholarship is offered by Dutch research universities and universities of applied sciences to attract talented non-EEA students, providing financial support for their first year of bachelor's or master's study in the Netherlands.","We seek excellent international students from outside the EEA with a minimum GPA of 78/100 and IELTS 6.0, who wish to study at a Dutch university and can demonstrate academic distinction and motivation in their chosen discipline.",false,false,false,false,416,false,0,Sat May 30 2026 02:44:06 GMT+0000 (Coordinated Universal Time),Sat May 30 2026 02:44:06 GMT+0000 (Coordinated Universal Time)
28,SCH_000027,Czech Government Scholarship (DZS),,"indonesia,vietnam,malaysia,thailand,india,egypt,morocco,nigeria,kenya,south_africa",high_school,"languages,science,social_studies,vocational","engineering,agriculture,medicine,education,economics,arts_humanities,computer_science",public_a,17,26,73,68,"[object Object],[object Object]",false,high,germany,europe,[object Object],industry,false,"The Czech Government Scholarship, administered by the House of International Cooperation (DZS), offers students from developing countries access to quality Czech higher education in technical, agricultural, and humanitarian disciplines.","We seek students from partner developing countries with a minimum GPA of 73/100, English or Czech language ability, and academic interest in engineering, agriculture, medicine, or humanities at Czech public universities.",true,true,false,true,3000,true,3,Sat May 30 2026 02:44:07 GMT+0000 (Coordinated Universal Time),Sat May 30 2026 02:44:07 GMT+0000 (Coordinated Universal Time)
29,SCH_000028,Polish Government Scholarship (NAWA),,"indonesia,vietnam,malaysia,thailand,india,egypt,morocco,nigeria,kenya,south_africa",high_school,"languages,science,social_studies,vocational","engineering,computer_science,economics,social_sciences,arts_humanities,agriculture,mathematics",public_a,17,26,73,68,"[object Object],[object Object]",false,high,germany,europe,[object Object],industry,false,"The Polish National Agency for Academic Exchange (NAWA) offers scholarships for students from developing nations to pursue undergraduate education at Polish universities, strengthening academic and cultural ties worldwide.","We seek students from partner countries with a minimum GPA of 73/100 and English or Polish proficiency, interested in engineering, computer science, economics, or humanities at accredited Polish institutions.",true,true,false,true,1250,true,3,Sat May 30 2026 02:44:07 GMT+0000 (Coordinated Universal Time),Sat May 30 2026 02:44:07 GMT+0000 (Coordinated Universal Time)
30,SCH_000029,ICCR Scholarship (India — Indian Council for Cultural Relations),,"indonesia,malaysia,vietnam,thailand,philippines,egypt,morocco,nigeria,kenya,south_africa",high_school,"languages,science,social_studies,vocational","education,arts_humanities,social_sciences,medicine,agriculture,engineering,economics",public_a,17,25,70,65,"[object Object],[object Object]",false,high,india,asia,[object Object],academic,false,The Indian Council for Cultural Relations (ICCR) Scholarship promotes India's educational excellence and people-to-people diplomacy by supporting students from partner countries to study at Indian universities across all disciplines.,"We seek students from partner and developing countries with a minimum GPA of 70/100 and English proficiency, who are curious about India's rich academic tradition and wish to study in a culturally diverse university environment.",true,true,false,false,10000,true,2,Sat May 30 2026 02:44:07 GMT+0000 (Coordinated Universal Time),Sat May 30 2026 02:44:07 GMT+0000 (Coordinated Universal Time)
31,SCH_000030,IsDB Merit Scholarship (Islamic Development Bank),,"indonesia,malaysia,egypt,morocco,nigeria,kenya,south_africa,india,bangladesh",high_school,"languages,science,social_studies,vocational","engineering,computer_science,medicine,agriculture,economics,education",public_a,17,25,75,70,"[object Object],[object Object]",true,middle,egypt,africa,[object Object],industry,true,"The IsDB Merit Scholarship supports high-achieving students from OIC member countries to pursue undergraduate education at universities within the Islamic world and beyond, contributing to sustainable development in Muslim-majority nations.","We seek merit students from OIC member countries with a minimum GPA of 75/100, demonstrated financial need, and commitment to applying their education for the development of their home country in priority sectors like health, agriculture, and engineering.",true,true,true,true,500,true,4,Sat May 30 2026 02:44:07 GMT+0000 (Coordinated Universal Time),Sat May 30 2026 02:44:07 GMT+0000 (Coordinated Universal Time)
32,SCH_000031,Moroccan Government Scholarship (AMCI),,"indonesia,malaysia,egypt,nigeria,kenya,south_africa,india,vietnam",high_school,"languages,science,social_studies,vocational","engineering,computer_science,medicine,agriculture,economics,law,arts_humanities",accredited_b,17,26,70,65,"[object Object],[object Object]",false,high,morocco,africa,[object Object],industry,false,"The Moroccan Agency for International Cooperation (AMCI) scholarship invites students from partner countries to study at Morocco's universities, positioning Morocco as a gateway for education and cooperation between Africa and the world.","We seek students from partner countries with a minimum GPA of 70/100 and French or Arabic proficiency, interested in engineering, law, medicine, or agriculture at Moroccan public universities.",true,true,false,false,1000,true,2,Sat May 30 2026 02:44:07 GMT+0000 (Coordinated Universal Time),Sat May 30 2026 02:44:07 GMT+0000 (Coordinated Universal Time)
33,SCH_000032,Al-Azhar University Scholarship (Egypt),,"indonesia,malaysia,egypt,morocco,nigeria,kenya,south_africa,india,vietnam,thailand,philippines",high_school,"social_studies,languages","education,arts_humanities,social_sciences,law",accredited_b,16,25,70,65,[object Object],false,high,egypt,africa,[object Object],education,false,"Al-Azhar University, one of the world's oldest Islamic institutions, offers scholarships to Muslim students from across the globe to study Islamic sciences, Arabic language, law, and humanities in Cairo, Egypt.","We seek Muslim students with a minimum GPA of 70/100 and demonstrable Arabic language proficiency or willingness to learn, who aspire to study Islamic sciences, humanities, or law at one of Islam's most revered universities.",true,true,false,false,500,true,2,Sat May 30 2026 02:44:07 GMT+0000 (Coordinated Universal Time),Sat May 30 2026 02:44:07 GMT+0000 (Coordinated Universal Time)
34,SCH_000033,Seoul National University (SNU) International Scholarship,,"indonesia,vietnam,malaysia,thailand,philippines,india,china,brazil,south_africa,nigeria",high_school,"languages,science,social_studies,vocational","computer_science,engineering,economics,medicine,mathematics,social_sciences,arts_humanities,biology",excellence,17,21,85,83,"[object Object],[object Object]",false,high,south_korea,asia,[object Object],industry,false,"Seoul National University International Scholarship attracts the world's brightest students to Korea's most prestigious university, cultivating global leaders who will drive innovation and advance knowledge across disciplines.","We seek internationally distinguished students with a minimum GPA of 85/100, TOEFL 83 or IELTS 6.5, and a record of academic excellence or olympiad achievement, who aspire to study at Korea's leading research university.",true,true,false,true,400000,true,3,Sat May 30 2026 02:44:07 GMT+0000 (Coordinated Universal Time),Sat May 30 2026 02:44:07 GMT+0000 (Coordinated Universal Time)
35,SCH_000034,POSTECH Global Scholarship,,"indonesia,vietnam,malaysia,thailand,philippines,india,china,south_africa,nigeria,kenya,brazil",high_school,science,"computer_science,engineering,mathematics,physics,chemistry,biology",excellence,17,20,87,85,"[object Object],[object Object]",false,high,south_korea,asia,[object Object],research,false,"POSTECH Global Scholarship identifies the most talented science and engineering students worldwide, offering a fully funded undergraduate experience at one of Asia's most research-intensive universities in Pohang, South Korea.","We seek elite science students with a minimum GPA of 87/100, TOEFL 80, and exceptional aptitude in mathematics, physics, or computer science, ideally with international olympiad experience or research exposure.",true,true,false,true,300000,true,3,Sat May 30 2026 02:44:07 GMT+0000 (Coordinated Universal Time),Sat May 30 2026 02:44:07 GMT+0000 (Coordinated Universal Time)
